seconds,state,googleCalls,netflixCalls
1,0.00,23,0
2,0.00,5,0
3,0.00,2,0
4,0.00,2,0
5,0.00,1,0
6,0.00,1,0
7,0.00,2,0
8,0.00,1,0
9,0.00,1,0
10,0.00,1,0
11,0.00,2,0
12,0.00,1,0
13,0.00,1,0
14,0.00,1,0
15,0.00,1,0
16,0.00,2,0
17,500.00,4,0
18,500.00,6,0
19,500.00,19,0
20,500.00,33,0
21,500.00,42,0
22,500.00,70,0
23,500.00,73,0
24,500.00,80,0
25,500.00,87,0
26,500.00,105,0
27,500.00,89,0
28,500.00,93,0
29,500.00,96,0
30,500.00,88,0
31,500.00,86,0
32,500.00,99,0
33,500.00,100,0
34,500.00,98,0
35,500.00,119,0
36,500.00,132,0
37,500.00,158,0
38,500.00,144,0
39,500.00,135,0
40,500.00,130,0
41,500.00,157,0
42,500.00,184,0
43,500.00,149,0
44,500.00,143,0
45,500.00,123,0
46,500.00,165,0
47,500.00,174,0
48,500.00,172,0
49,500.00,130,0
50,500.00,152,0
51,500.00,149,0
52,500.00,157,0
53,500.00,160,0
54,500.00,174,0
55,0.00,170,0
56,0.00,166,0
57,0.00,132,0
58,0.00,161,0
59,0.00,147,0
60,0.00,99,0
61,0.00,97,0
62,0.00,78,0
63,0.00,52,0
64,0.00,37,0
65,0.00,6,0
66,0.00,2,0
67,0.00,2,0
68,0.00,1,0
69,0.00,1,0
70,0.00,1,0
71,0.00,1,0
72,0.00,2,0
73,0.00,1,0
74,0.00,1,0
75,500.00,4,0
76,500.00,24,0
77,500.00,31,0
78,500.00,54,0
79,500.00,60,0
80,500.00,98,0
81,500.00,102,0
82,500.00,153,0
83,500.00,152,0
84,500.00,157,0
85,500.00,144,0
86,500.00,137,0
87,500.00,141,0
88,500.00,173,0
89,500.00,177,0
90,500.00,185,0
91,500.00,168,0
92,500.00,178,0
93,500.00,158,0
94,500.00,158,0
95,500.00,162,0
96,500.00,154,0
97,500.00,156,0
98,500.00,144,0
99,500.00,153,0
100,500.00,151,0
101,500.00,166,0
102,500.00,157,0
103,500.00,150,0
104,0.00,150,0
105,0.00,147,0
106,0.00,150,0
107,0.00,133,0
108,0.00,119,0
109,0.00,103,0
110,0.00,62,0
111,0.00,48,0
112,0.00,26,0
113,0.00,11,0
114,0.00,1,0
115,500.00,9,0
116,500.00,23,0
117,500.00,44,0
118,500.00,63,0
119,500.00,95,0
120,500.00,109,0
121,500.00,123,0
122,500.00,124,0
123,500.00,152,0
124,500.00,163,0
125,500.00,158,0
126,0.00,160,0
127,0.00,152,0
128,0.00,133,0
129,0.00,125,0
130,0.00,102,0
131,500.00,123,0
132,500.00,123,0
133,500.00,125,0
134,500.00,110,0
135,500.00,123,0
136,500.00,143,0
137,500.00,133,0
138,500.00,140,0
139,500.00,137,0
140,500.00,160,0
141,500.00,154,0
142,500.00,174,0
143,500.00,157,0
144,500.00,156,0
145,500.00,150,0
146,500.00,158,0
147,0.00,172,0
148,0.00,168,0
149,0.00,144,0
150,0.00,147,0
151,0.00,116,0
152,0.00,86,0
153,0.00,72,0
154,0.00,46,0
155,0.00,29,0
156,500.00,12,0
157,500.00,41,0
158,500.00,47,0
159,500.00,77,0
160,500.00,86,0
161,500.00,112,0
162,500.00,135,0
163,500.00,147,0
164,500.00,152,0
165,500.00,166,0
166,500.00,162,0
167,500.00,159,0
168,500.00,159,0
169,500.00,161,0
170,500.00,160,0
171,500.00,160,0
172,500.00,159,0
173,0.00,163,0
174,0.00,163,0
175,0.00,156,0
176,0.00,146,0
177,0.00,115,0
178,0.00,99,0
179,0.00,63,0
180,0.00,48,0
181,0.00,25,0
182,500.00,28,0
183,500.00,34,0
184,500.00,42,0
185,500.00,70,0
186,500.00,95,0
187,500.00,106,0
188,500.00,123,0
189,500.00,145,0
190,500.00,147,0
191,500.00,185,0
192,500.00,167,0
193,500.00,157,0
194,500.00,181,0
195,500.00,167,0
196,500.00,184,0
197,500.00,167,0
198,500.00,166,0
199,0.00,167,0
200,0.00,162,0
201,0.00,134,0
202,0.00,145,0
203,0.00,116,0
204,0.00,100,0
205,0.00,79,0
206,0.00,52,0
207,0.00,17,0
208,0.00,11,0
209,0.00,1,0
210,0.00,2,0
211,0.00,1,0
212,0.00,1,0
213,0.00,3,0
214,0.00,1,0
215,0.00,1,0
216,500.00,10,0
217,500.00,22,0
218,0.00,5,0
219,0.00,5,0
220,500.00,19,0
221,500.00,30,0
222,500.00,61,0
223,500.00,80,0
224,500.00,89,0
225,500.00,115,0
226,500.00,129,0
227,500.00,151,0
228,500.00,146,0
229,500.00,162,0
230,500.00,169,0
231,500.00,178,0
232,500.00,162,0
233,500.00,158,0
234,500.00,172,0
235,500.00,155,0
236,500.00,153,0
237,500.00,173,0
238,500.00,154,0
239,500.00,168,0
240,500.00,166,0
241,500.00,163,0
242,500.00,148,0
243,500.00,163,0
244,500.00,155,0
245,500.00,160,0
246,500.00,163,0
247,500.00,156,0
248,500.00,174,0
249,500.00,167,0
250,500.00,157,0
251,500.00,156,0
252,500.00,164,0
253,500.00,160,0
254,500.00,166,0
255,500.00,171,0
256,500.00,176,0
257,0.00,172,0
258,0.00,174,0
259,0.00,164,0
260,0.00,150,0
261,0.00,129,0
262,0.00,105,0
263,0.00,75,0
264,0.00,52,0
265,0.00,32,0
266,0.00,11,0
267,0.00,1,0
268,0.00,1,0
269,0.00,1,0
270,0.00,2,0
271,0.00,1,0
272,0.00,1,0
273,0.00,1,0
274,0.00,1,0
275,0.00,1,0
276,500.00,6,0
277,500.00,32,0
278,500.00,49,0
279,500.00,74,0
280,500.00,95,0
281,500.00,102,0
282,500.00,134,0
283,500.00,140,0
284,500.00,154,0
285,500.00,161,0
286,500.00,178,0
287,500.00,164,0
288,0.00,155,0
289,500.00,172,0
290,500.00,172,0
291,500.00,166,0
292,500.00,176,0
293,500.00,151,0
294,500.00,167,0
295,500.00,168,0
296,500.00,163,0
297,500.00,149,0
298,500.00,149,0
299,500.00,162,0
